
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\resize-observer-polyfill\README.md | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\lodash.debounce\LICENSE | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\string-convert\camel2hyphen.js | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\string-convert\LICENSE | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\lodash.debounce\index.js | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\resize-observer-polyfill\src | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | DIRECTORY CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\resize-observer-polyfill\dist | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\string-convert\hyphen2camel.js | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\string-convert\index.js | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
17/3/2026, 4:56:52 pm | FILE CREATED | File Path:D:\FSD Project\firstReactApp\node_modules\classnames\bind.d.ts | MAC:d8:c0:a6:41:84:7d | IP:10.73.50.128 | Hostname:ceVensAbode | User:an7ki | OS:Windows 11 Home Single Language x64 | CPU:AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx  
